Name,Access,Notes,Region/City,Robots/ToS,Type,URL
Praha.eu Events,Website,regional DMO,Praha,,City DMO,https://www.prague.eu/en/events
Středočeská centrála cestovního ruchu,Website,regional DMO,Středočeský kraj,,Regional DMO,https://www.centralbohemia.cz/akce/
Jihočeská centrála cestovního ruchu,Website,regional DMO,Jihočeský kraj,,Regional DMO,https://www.jiznicechy.cz/akce
Karlovarský kraj – Events,Website,regional DMO,Karlovarský kraj,,Regional DMO,https://www.karlovyvary.cz/cs/akce
Ústecký kraj – Brána do Čech,Website,regional DMO,Ústecký kraj,,Regional DMO,https://www.branadocech.cz/akce
Pardubice – Region,Website,regional DMO,Pardubický kraj,,Regional DMO,https://www.pardubickykraj.cz/akce
Vysočina – Tourist,Website,regional DMO,Kraj Vysočina,,Regional DMO,https://www.vysocina.eu/akce/
Hlavní město Praha – Kultura,Website,city calendar,Praha,,City portal,https://www.praha.eu/jnp/cz/co_delat_v_praze/kultura/index.html
Karviná – Kultura,Website,city calendar,Karviná,,City portal,https://www.karvina.cz/akce
Opava – Kalendar,Website,city calendar,Opava,,City portal,https://www.opava-city.cz/cs/aktualne/kalendar-akci
Havířov – Kalendar,Website,city calendar,Havířov,,City portal,https://www.havirov-city.cz/akce
Kladno – Kalendar,Website,city calendar,Kladno,,City portal,https://www.mestokladno.cz/aktuality/kalendar-akci
Most – Akce,Website,city calendar,Most,,City portal,https://www.mesto-most.cz/akce
Frýdek‑Místek – Akce,Website,city calendar,Frýdek-Místek,,City portal,https://www.frydekmistek.cz/akce/
Teplice – Akce,Website,city calendar,Teplice,,City portal,https://www.teplice.cz/akce
Děčín – Akce,Website,city calendar,Děčín,,City portal,https://www.mmdecin.cz/akce
Chomutov – Akce,Website,city calendar,Chomutov,,City portal,https://www.chomutov.cz/akce
Jablonec nad Nisou – Akce,Website,city calendar,Jablonec nad Nisou,,City portal,https://www.mestojablonec.cz/akce
Mladá Boleslav – Akce,Website,city calendar,Mladá Boleslav,,City portal,https://www.mb-net.cz/kalendar-akci/
Prostějov – Kalendar,Website,city calendar,Prostějov,,City portal,https://www.prostejov.eu/cs/aktuality/kalendar-akci/
Přerov – Kalendar,Website,city calendar,Přerov,,City portal,https://www.prerov.eu/cs/aktuality/kalendar-akci/
Třinec – Akce,Website,city calendar,Třinec,,City portal,https://www.trinecko.cz/akce
Tábor – Kalendar,Website,city calendar,Tábor,,City portal,https://www.taborcz.eu/akce
Znojmo – Akce,Website,city calendar,Znojmo,,City portal,https://www.znojmocity.cz/akce
Uherské Hradiště – Akce,Website,city calendar,Uherské Hradiště,,City portal,https://www.mesto-uh.cz/akce
Výstaviště České Budějovice – Program,Website,venue/culture house,České Budějovice,,Exhibition center,https://www.vcb.cz/kalendar-akci/
Výstaviště Flora Olomouc – Program,Website,venue/culture house,Olomouc,,Exhibition center,https://www.flora-ol.cz/kalendar-akci
Congress Centre Brno – Events,Website,venue/culture house,Brno,,Convention center,https://www.centrum.brno.cz/en/events
Tipsport Arena Praha – Program,Website,venue/culture house,Praha,,Arena,https://sportovnizarezeni.cz/tipsport-arena/program/
Metronom Business Center – Events,Website,venue/culture house,Praha,,Venue,https://www.metronom.cz/events/
KC Zahrada – Program,Website,venue/culture house,Praha,,Culture house,https://www.kczahrada.cz/program
KD Vltava – Program,Website,venue/culture house,České Budějovice,,Culture house,https://www.kdvltava.cz/program
Kulturní dům Střelnice – Tábor,Website,venue/culture house,Tábor,,Culture house,https://www.strelnice.cz/program
KD Hronovická Pardubice,Website,venue/culture house,Pardubice,,Culture house,https://www.kcpce.cz/program
KD KD Šeříková Plzeň,Website,venue/culture house,Plzeň,,Culture house,https://www.klubserikovka.cz/program
Dům kultury města Ostravy – Program,Website,venue/culture house,Ostrava,,Culture house,https://www.dkmoas.cz/program/
Dům kultury Akord – Ostrava,Website,venue/culture house,Ostrava,,Culture house,https://www.akord.eu/program/
Dům kultury Uherský Brod,Website,venue/culture house,Uherský Brod,,Culture house,https://www.dkub.cz/program
KD Střelnice Jablonec,Website,venue/culture house,Jablonec nad Nisou,,Culture house,https://www.klub-strelnice.cz/program
KD Trisia Třinec,Website,venue/culture house,Třinec,,Culture house,https://www.trisia.cz/program
KD Horažďovice,Website,venue/culture house,Horažďovice,,Culture house,https://www.kd-horazdovice.cz/program
KD Mělník,Website,venue/culture house,Mělník,,Culture house,https://www.mekuc.cz/program
KD Ostrov,Website,venue/culture house,Ostrov,,Culture house,https://www.dk-ostrov.cz/program
KD Hlučín,Website,venue/culture house,Hlučín,,Culture house,https://www.kasshlucin.cz/program
AMU – Kalendář,Website,university events,Praha,,University,https://www.amu.cz/cs/kalendar/
UK FSV – Akce,Website,university events,Praha,,University faculty,https://fsv.cuni.cz/udalosti
UK Matfyz – Events,Website,university events,Praha,,University faculty,https://www.mff.cuni.cz/cs/fakulta/aktuality/kalendar-akci
Mendel University – Events,Website,university events,Brno,,University,https://www.mendelu.cz/kalendar-akci/
VFU (VETUNI) Brno – Akce,Website,university events,Brno,,University,https://www.vfu.cz/akce/
UPOL – Kalendář,Website,university events,Olomouc,,University,https://www.upol.cz/nc/kalendar-akci/
UPOL FF – Akce,Website,university events,Olomouc,,University faculty,https://www.ff.upol.cz/udalosti/
ZČU – Kalendář,Website,university events,Plzeň,,University,https://info.zcu.cz/kalendar/
UJEP – Kalendář,Website,university events,Ústí nad Labem,,University,https://www.ujep.cz/kalendar
TUL – Kalendář,Website,university events,Liberec,,University,https://www.tul.cz/udalosti/
UHK – Kalendář,Website,university events,Hradec Králové,,University,https://www.uhk.cz/cs/udalosti
Uni Pardubice – Kalendář,Website,university events,Pardubice,,University,https://www.upce.cz/kalendar
JU – Kalendář,Website,university events,České Budějovice,,University,https://www.jcu.cz/kalendar-akci
UTB – Kalendář,Website,university events,Zlín,,University,https://www.utb.cz/udalosti/
VŠB-TUO – Kalendář,Website,university events,Ostrava,,University,https://www.vsb.cz/cs/o-univerzite/aktuality/kalendar-akci/
OU – Kalendář,Website,university events,Ostrava,,University,https://www.osu.cz/kalendar-akci/
Slezská univerzita – Kalendář,Website,university events,Opava/Karviná,,University,https://www.slu.cz/slu/cz/udalosti
Univerzita Tomáše Bati – FMK – Akce,Website,university events,Zlín,,University faculty,https://fmk.utb.cz/udalosti/
Colours of Ostrava,Website,festival,Ostrava,,Festival,https://www.colours.cz/
Rock for People,Website,festival,Hradec Králové,,Festival,https://rockforpeople.cz/
Metronome Prague,Website,festival,Praha,,Festival,https://www.metronome.cz/
United Islands of Prague,Website,festival,Praha,,Festival,https://unitedislands.cz/
Signal Festival,Website,festival,Praha,,Festival,https://www.signalfestival.com/
Pražské jaro,Website,festival,Praha,,Festival,https://www.festival.cz/
Dvořákova Praha,Website,festival,Praha,,Festival,https://www.dvorakovapraha.cz/
KVIFF – Karlovy Vary,Website,festival,Karlovy Vary,,Festival,https://www.kviff.com/
Let It Roll,Website,festival,Středočeský kraj,,Festival,ttps://letitroll.eu/
Hip Hop Kemp,Website,festival,Hradec Králové,,Festival,https://www.hiphopkemp.cz/
Beats for Love,Website,festival,Ostrava,,Festival,https://www.b4l.cz/
Brutal Assault,Website,festival,Josefov/Jaroměř,,Festival,https://brutalassault.cz/
Masters of Rock,Website,festival,Vizovice,,Festival,https://www.mastersofrock.cz/
Benátská!,Website,festival,Liberec,,Festival,https://www.benatska.cz/
Trutnoff Open Air,Website,festival,Trutnov,,Festival,https://festivaltrutnov.cz/
Hrady CZ,Website,festival,ČR (různá místa),,Festival,https://www.hradycz.cz/
Macháč Festival,Website,festival,Máchovo jezero,,Festival,https://festivalmachac.cz/
MFF Zlín,Website,festival,Zlín,,Festival,https://www.zlinfest.cz/
Bohemia Jazz Fest,Website,festival,ČR (různá města),,Festival,https://www.bohemiajazzfest.cz/
Struny podzimu,Website,festival,Praha,,Festival,https://www.strunypodzimu.cz/
Tanec Praha,Website,festival,Praha,,Festival,https://tanecpraha.cz/
Signal – Gallery events,Website,festival,Praha,,Festival/Gallery,https://signal.space/
SK Slavia Praha – Zápasy,Website,sports fixtures,Praha,,Football club,https://www.slavia.cz/zapasy.asp
AC Sparta Praha – Zápasy,Website,sports fixtures,Praha,,Football club,https://sparta.cz/cs/tymy/a-tym/matchcenter
FC Viktoria Plzeň – Zápasy,Website,sports fixtures,Plzeň,,Football club,https://www.fcviktoria.cz/zapasy
FC Baník Ostrava – Zápasy,Website,sports fixtures,Ostrava,,Football club,https://www.fcb.cz/zapas
SK Sigma Olomouc – Zápasy,Website,sports fixtures,Olomouc,,Football club,https://www.sigmaolomouc.cz/zapasy
1. FC Slovácko – Zápasy,Website,sports fixtures,Uherské Hradiště,,Football club,https://www.fcslovacko.cz/
FK Jablonec – Zápasy,Website,sports fixtures,Jablonec,,Football club,https://www.fkjablonec.cz/zapasy
MFK Karviná – Zápasy,Website,sports fixtures,Karviná,,Football club,https://www.mfkkarvina.cz/zapasy
Bohemians Praha 1905 – Zápasy,Website,sports fixtures,Praha,,Football club,https://www.bohemians.cz/
FK Teplice – Zápasy,Website,sports fixtures,Teplice,,Football club,https://www.fkteplice.cz/zapasy
Dynamo České Budějovice – Zápasy,Website,sports fixtures,České Budějovice,,Football club,https://www.dynamocb.cz/zapasy
FC Hradec Králové – Zápasy,Website,sports fixtures,Hradec Králové,,Football club,https://www.fchk.cz/
Mladá Boleslav – Zápasy,Website,sports fixtures,Mladá Boleslav,,Football club,https://www.mfkmb.cz/zapasy
HC Sparta Praha – Program,Website,sports fixtures,Praha,,Hockey club,https://www.hcsparta.cz/zapas.asp
HC Oceláři Třinec – Program,Website,sports fixtures,Třinec,,Hockey club,https://www.hcocelari.cz/zapasy.asp
HC Kometa Brno – Program,Website,sports fixtures,Brno,,Hockey club,https://www.hc-kometa.cz/zapas.asp
HC Dynamo Pardubice – Program,Website,sports fixtures,Pardubice,,Hockey club,https://www.hcdynamo.cz/zapas.asp
Bílí Tygři Liberec – Program,Website,sports fixtures,Liberec,,Hockey club,https://www.hcbilitygri.cz/zapas.asp
HC Verva Litvínov – Program,Website,sports fixtures,Litvínov,,Hockey club,https://www.hcverva.cz/zapas.asp
HC Energie Karlovy Vary – Program,Website,sports fixtures,Karlovy Vary,,Hockey club,https://www.hokejkv.cz/zapasy.asp
HC Olomouc – Program,Website,sports fixtures,Olomouc,,Hockey club,https://www.hc-olomouc.cz/zapas.asp
HC Motor České Budějovice – Program,Website,sports fixtures,České Budějovice,,Hockey club,https://www.hcmotor.cz/zapasy.asp
PSG Berani Zlín – Program,Website,sports fixtures,Zlín,,Hockey club,https://www.hokej.zlin.cz/zapas.asp
BK Opava – Zápasy,Website,sports fixtures,Opava,,Basketball club,https://www.bkopava.cz/
Basket Brno – Zápasy,Website,sports fixtures,Brno,,Basketball club,https://www.basketbrno.cz/
USK Praha – Zápasy,Website,sports fixtures,Praha,,Basketball club,https://www.uskpraha.cz/
BK Pardubice – Zápasy,Website,sports fixtures,Pardubice,,Basketball club,https://bkpardubice.cz/
SLUNETA Ústí n. L. – Zápasy,Website,sports fixtures,Ústí nad Labem,,Basketball club,https://www.sluneta.cz/
NH Ostrava – Zápasy,Website,sports fixtures,Ostrava,,Basketball club,https://www.nhostrava.cz/
Divadlo Hybernia – Program,Website,theatre program,Praha,,Theatre,https://www.hybernia.cz/program/
Hudební divadlo Karlín – Program,Website,theatre program,Praha,,Theatre,https://www.hdk.cz/program
Divadlo na Fidlovačce – Program,Website,theatre program,Praha,,Theatre,https://www.fidlovacka.cz/program/
Švandovo divadlo – Program,Website,theatre program,Praha,,Theatre,https://www.svandovodivadlo.cz/program
Městská divadla pražská – Program,Website,theatre program,Praha,,Theatre,https://www.mestskadivadlaprazska.cz/program/
Divadlo Husa na provázku – Program,Website,theatre program,Brno,,Theatre,https://www.provazek.cz/program
Divadlo ABC – Program,Website,theatre program,Praha,,Theatre,https://www.mestskadivadlaprazska.cz/repertoar/
Divadlo J. K. Tyla – Program,Website,theatre program,Plzeň,,Theatre,https://www.djkt.eu/program
Divadlo F. X. Šaldy – Program,Website,theatre program,Liberec,,Theatre,https://www.saldanl.cz/program
Moravské divadlo Olomouc – Program,Website,theatre program,Olomouc,,Theatre,https://www.moravskedivadloolomouc.cz/program
Slezské divadlo Opava – Program,Website,theatre program,Opava,,Theatre,https://www.divadlo-opava.cz/
Technické muzeum v Brně – Kalendář,Website,museum/gallery,Brno,,Museum,https://www.technicalmuseum.cz/akce/
Muzeum hlavního města Prahy – Program,Website,museum/gallery,Praha,,Museum,https://www.muzeumprahy.cz/akce/
Národní zemědělské muzeum – Akce,Website,museum/gallery,Praha/ČR,,Museum,https://www.nzm.cz/akce
Moravské zemské muzeum – Program,Website,museum/gallery,Brno,,Museum,https://www.mzm.cz/akce/
Galerie hlavního města Prahy – Program,Website,museum/gallery,Praha,,Gallery,https://www.ghmp.cz/program/
Galerie Rudolfinum – Program,Website,museum/gallery,Praha,,Gallery,https://www.galerierudolfinum.cz/program/
Kunsthalle Praha – Program,Website,museum/gallery,Praha,,Gallery,https://www.kunsthallepraha.org/program
Galerie výtvarného umění Ostrava (GVUO),Website,museum/gallery,Ostrava,,Gallery,https://www.gvuo.cz/
Muzeum umění Olomouc,Website,museum/gallery,Olomouc,,Museum/Gallery,https://www.muo.cz/
Západočeské muzeum v Plzni – Akce,Website,museum/gallery,Plzeň,,Museum,https://www.zcm.cz/akce
Roxy Prague – Program,Website,club/music venue,Praha,,Club,https://www.roxy.cz/program
Lucerna Music Bar – Program,Website,club/music venue,Praha,,Club,https://www.musicbar.cz/program/
Palác Akropolis – Program,Website,club/music venue,Praha,,Club,https://www.palacakropolis.cz/program
MeetFactory – Program,Website,club/music venue,Praha,,Club,https://www.meetfactory.cz/program
Jazz Dock – Program,Website,club/music venue,Praha,,Club,https://www.jazzdock.cz/program
Futurum Music Bar – Program,Website,club/music venue,Praha,,Club,https://www.futurum.cz/program
Fléda – Program,Website,club/music venue,Brno,,Club,https://www.fleda.cz/program
Sono Centrum – Program,Website,club/music venue,Brno,,Club,https://www.sonocentrum.cz/program
Archa+ (dříve Divadlo Archa) – Program,Website,club/music venue,Praha,,Venue,https://www.archaplus.cz/program
STORM Club – Program,Website,club/music venue,Praha,,Club,https://www.stormclub.cz/program
Kabinet MÚZ – Program,Website,club/music venue,Brno,,Club,https://www.kabinetmuz.cz/program
Kasárna Karlín – Program,Website,club/music venue,Praha,,Venue,https://www.kasarnakarlin.cz/program
DEPO2015 – Program,Website,club/music venue,Plzeň,,Venue,https://www.depo2015.cz/program
Kampus Hybernská – Program,Website,club/music venue,Praha,,Venue,https://www.hybernska.cz/program
Cross Club – Program,Website,club/music venue,Praha,,Club,https://www.crossclub.cz/cs/program/
Kudy z nudy (CzechTourism),API (rate-limited),Strong national coverage; official tourist board,CZ,,National aggregator,https://www.kudyznudy.cz/akce
Prague.eu – Events,Website,Multiple categories + large events,Praha,,City tourism portal,https://prague.eu/en/akce-kategorie/events/
GoOut.net – Česko,Website,Strong culture/venues coverage,CZ,,Aggregator + ticketing,https://goout.net/cs/cesko/akce/
Ticketportal.cz,Website,Nationwide ticketing marketplace,CZ,,Ticketing,https://www.ticketportal.cz/
Ticketmaster.cz,Website,Nationwide; formerly Ticketpro,CZ,,Ticketing,https://www.ticketmaster.cz/
Ticketstream.cz,Website,Nationwide ticketing,CZ,,Ticketing,https://www.ticketstream.cz/akce
TicketLIVE.cz,Website,Nationwide; categories for music/sport,CZ,,Ticketing,https://www.ticketlive.cz/cs
AkceDnes.cz,Website,Local listings; verify coverage,CZ,,Aggregator,https://www.akcednes.cz/
Informuji.cz – Akce,Website,Culture/events portal,CZ,,Aggregator,https://www.informuji.cz/akce/
Kultura.cz,Website,Culture/events portal,CZ,,Aggregator,https://www.kultura.cz/
Eventbrite – Prague,Website,International platform; many meetups,Praha,,Platform,https://www.eventbrite.com/d/czech-republic--prague/events/
